Model,Mode,Acc_All,F1_All,Acc_Short,Acc_Long,FP_Short
mBERT,Pure,95.41905257678293,95.4639175257732,94.4254835039818,96.25719769673704,58
mBERT,FST,93.62311296199896,93.7066529668636,92.83276450511946,94.28982725527831,70
XLM-R,Pure,95.44508068714211,95.52315170120235,94.08418657565414,96.59309021113243,67
XLM-R,FST,94.35190005205622,94.49936628643853,93.23094425483504,95.29750479846449,83
KazBERT,Pure,94.58615304528891,94.63364293085655,93.51535836177474,95.489443378119,63
KazBERT,FST,94.56012493492972,94.62586783234764,93.34470989761093,95.58541266794626,65
KazRoBERTa,Pure,96.09578344612181,96.14989733059548,95.05119453924915,96.97696737044146,53
KazRoBERTa,FST,96.06975533576262,96.07282184655396,94.99431171786121,96.97696737044146,36
